Proofs_of_Fermat%27s_theorem_on_sums_of_two_squares	[20130607,20130606,20130615,20130611,20130602,20130610,20130601,20130612,20130603,20130613,20130604,20130605,20130614,20130609,20130608]	[66,72,31,52,23,48,31,53,41,52,42,74,34,36,47]	702	4
Pearson%27s_chi-square_test	[20130609,20130605,20130614,20130608,20130613,20130604,20130615,20130606,20130607,20130611,20130602,20130601,20130610,20130603,20130612]	[41,42,45,19,43,53,30,54,57,65,33,35,57,64,62]	700	24
D%27Agostino%27s_K-squared_test	[20130601,20130610,20130612,20130603,20130602,20130611,20130604,20130613,20130609,20130608,20130607,20130605,20130614,20130615,20130606]	[24,64,42,58,45,70,50,53,42,21,50,59,43,21,48]	690	22
Graeco-Latin_square	[20130606,20130615,20130612,20130603,20130607,20130604,20130613,20130609,20130614,20130605,20130608,20130610,20130601,20130602,20130611]	[39,28,44,65,44,48,67,60,39,56,46,42,37,33,33]	681	37
Least_squares_support_vector_machine	[20130607,20130604,20130613,20130603,20130612,20130608,20130605,20130614,20130602,20130611,20130615,20130606,20130601,20130610,20130609]	[44,55,44,93,36,23,50,50,23,39,31,46,65,40,22]	661	-91
Inverse-chi-squared_distribution	[20130612,20130603,20130601,20130610,20130614,20130605,20130607,20130609,20130608,20130606,20130615,20130602,20130611,20130613,20130604]	[59,45,29,54,37,56,43,24,17,53,32,41,73,42,38]	643	33
Middle-square_method	[20130601,20130610,20130609,20130611,20130602,20130612,20130603,20130613,20130604,20130608,20130615,20130606,20130605,20130614,20130607]	[44,35,38,44,35,42,53,41,60,34,19,64,45,46,37]	637	-39
Squaring_the_square	[20130611,20130602,20130612,20130603,20130609,20130605,20130614,20130608,20130610,20130601,20130607,20130606,20130615,20130604,20130613]	[38,44,48,77,48,37,41,21,35,27,52,44,29,56,37]	634	-40
Root-mean-square	[20130604,20130613,20130614,20130605,20130606,20130615,20130601,20130610,20130602,20130611,20130603,20130612,20130609,20130607,20130608]	[61,54,40,47,65,21,17,47,28,64,43,52,28,37,27]	631	35
Granny_square	[20130609,20130601,20130610,20130613,20130604,20130612,20130603,20130602,20130611,20130607,20130614,20130605,20130615,20130606,20130608]	[26,27,52,44,41,51,36,38,61,33,46,67,33,38,37]	630	70
M_squared	[20130603,20130612,20130606,20130615,20130607,20130602,20130611,20130601,20130610,20130614,20130605,20130613,20130604,20130608,20130609]	[55,47,58,25,39,23,51,33,40,44,55,56,62,23,16]	627	-23
List_of_city_squares	[20130614,20130605,20130609,20130612,20130603,20130611,20130602,20130615,20130606,20130604,20130613,20130607,20130608,20130601,20130610]	[17,37,23,110,28,31,23,14,23,135,44,25,33,19,63]	625	45
Semiotic_square	[20130607,20130606,20130615,20130603,20130612,20130605,20130614,20130609,20130611,20130602,20130610,20130601,20130604,20130613,20130608]	[29,44,37,58,32,96,28,40,41,25,39,25,42,62,23]	621	-17
Foursquare_(website)	[20130607,20130602,20130611,20130612,20130603,20130604,20130613,20130601,20130610,20130615,20130606,20130614,20130605,20130609,20130608]	[36,38,56,35,46,49,43,34,49,26,54,39,32,38,26]	601	23
Chi-squared	[20130607,20130604,20130613,20130612,20130603,20130609,20130608,20130602,20130611,20130610,20130601,20130606,20130615,20130605,20130614]	[35,39,55,54,52,21,17,18,49,36,25,43,39,45,58]	586	72
Method_of_least_squares	[20130612,20130603,20130607,20130614,20130605,20130610,20130601,20130602,20130611,20130606,20130615,20130608,20130613,20130604,20130609]	[60,39,40,38,46,53,21,30,40,47,26,30,32,54,30]	586	32
Market_square	[20130603,20130612,20130607,20130611,20130602,20130605,20130614,20130609,20130615,20130606,20130613,20130604,20130608,20130601,20130610]	[31,68,32,38,27,39,38,40,40,39,53,43,39,32,26]	585	99
Chi_square	[20130607,20130609,20130608,20130611,20130602,20130612,20130603,20130605,20130614,20130613,20130604,20130606,20130615,20130610,20130601]	[40,34,28,45,33,46,51,44,25,50,51,50,14,50,22]	583	1
Unit_square	[20130611,20130602,20130604,20130613,20130608,20130603,20130612,20130601,20130610,20130605,20130614,20130609,20130606,20130615,20130607]	[41,35,43,52,32,53,40,26,50,49,26,34,47,19,32]	579	9
Trafalgar_square	[20130603,20130612,20130607,20130609,20130604,20130613,20130614,20130605,20130611,20130602,20130610,20130601,20130606,20130615,20130608]	[33,21,29,16,49,11,19,32,23,162,29,101,23,11,14]	573	-285
Circle_packing_in_a_square	[20130609,20130608,20130615,20130606,20130607,20130603,20130612,20130611,20130602,20130601,20130610,20130604,20130613,20130614,20130605]	[35,33,24,44,35,34,60,36,14,20,45,36,72,31,52]	571	101
Madison_square_garden	[20130615,20130606,20130608,20130612,20130603,20130611,20130602,20130607,20130613,20130604,20130609,20130605,20130614,20130601,20130610]	[32,26,34,39,63,35,45,27,40,47,30,37,30,38,34]	557	-9
Tianamen_square	[20130609,20130601,20130610,20130602,20130611,20130614,20130605,20130615,20130606,20130607,20130608,20130603,20130612,20130613,20130604]	[12,8,12,21,28,7,143,6,32,25,11,42,10,9,190]	556	-366
Tiananmen_square_massacre	[20130608,20130609,20130605,20130614,20130606,20130610,20130601,20130613,20130604,20130612,20130603,20130602,20130611,20130607]	[24,19,90,4,40,15,6,9,251,7,32,11,22,14]	544	-344
