Zola_(entertainer)	[20130605,20130614,20130604,20130613,20130607,20130609,20130610,20130601,20130612,20130603,20130615,20130606,20130602,20130611,20130608]	[155,150,122,124,126,105,114,94,145,128,127,175,89,133,108]	1895	117
Syren_(entertainer)	[20130609,20130608,20130607,20130613,20130604,20130612,20130603,20130602,20130611,20130610,20130601,20130605,20130614,20130606,20130615]	[126,129,109,102,137,121,167,95,122,135,114,129,82,144,124]	1836	46
Lizzy_Borden_(female_entertainer)	[20130608,20130607,20130609,20130603,20130612,20130614,20130605,20130610,20130601,20130611,20130602,20130606,20130615,20130604,20130613]	[106,124,99,134,130,115,118,127,127,150,113,97,129,140,97]	1806	100
Sydney_Park_(entertainer)	[20130608,20130609,20130610,20130601,20130611,20130602,20130612,20130603,20130613,20130604,20130605,20130614,20130607,20130615,20130606]	[102,110,122,149,102,155,108,151,146,131,94,112,101,95,127]	1805	-11
Serenity_(entertainer)	[20130607,20130615,20130606,20130613,20130604,20130608,20130609,20130603,20130612,20130605,20130614,20130610,20130601,20130602,20130611]	[101,85,129,103,107,111,117,124,121,93,92,113,96,124,95]	1611	63
List_of_centenarians_(actors,_filmmakers_and_entertainers)	[20130608,20130606,20130615,20130602,20130611,20130612,20130603,20130607,20130601,20130610,20130604,20130613,20130605,20130614,20130609]	[60,80,110,64,93,267,90,93,61,96,76,209,74,147,82]	1602	526
Jon_Richardson_(entertainer)	[20130608,20130615,20130606,20130613,20130604,20130607,20130611,20130602,20130603,20130612,20130601,20130610,20130614,20130605,20130609]	[94,111,83,97,93,127,118,88,96,109,91,122,131,81,119]	1560	242
Pee_Wee_(entertainer)	[20130613,20130604,20130605,20130614,20130602,20130611,20130608,20130607,20130612,20130603,20130610,20130601,20130615,20130606,20130609]	[102,110,104,117,85,114,122,82,90,115,112,65,97,95,97]	1507	195
Jason_Lee_(entertainer)	[20130609,20130604,20130613,20130614,20130605,20130606,20130615,20130607,20130608,20130602,20130611,20130610,20130601,20130603,20130612]	[129,81,103,84,101,80,101,68,116,87,97,90,108,95,126]	1466	226
India_(entertainer)	[20130612,20130603,20130608,20130615,20130606,20130601,20130610,20130611,20130602,20130607,20130604,20130613,20130609,20130614,20130605]	[106,80,103,90,96,79,96,115,104,81,84,127,98,119,84]	1462	246
